,,,,,,,,,,,,
Type,Aircraft,Aircraft ID,Nation,Commander,Take off Base ,Target ,Date of Mission,Take off Time,Reason for Crash ,Latitude,Longitude ,Location
Crash,DAP Beaufort Mark VIII,A9-186  ,Australia,W/O Clement Batstone Wiggins,"Gurney Field (No. 1 Strip), Milne Bay",Gasmata Airfield ,05-09-1943,5:20 AM,Enemy Aircraft,-6.273486,150.331401,Gasmata
Crash,DAP Beaufort Mark VIII ,A9-204  ,Australia, F/O Thomas Hessey Allanson,Vivigani Airfield on Goodenough Island,Gasmata Airfield ,04-09-1943,NA,Anti Aircraft Fire,-6.265736,150.332369,Gasmata
Crash, B-24D-125-CO Liberator,42-41043 ,USA,1st Lt James J. Harris Jr, Dobodura No. 4 Airfield (Horanda 4Y),Gasmata,15-12-1943,NA,Friendly fire in mistake,-6.354621,150.335992,Solomon Sea
Crash,DAP Beaufort Mark VIII,A9-480 ,Australia,F/O Alexander Peter Potts,Vivigani Airfield on Goodenough Island ,NA,05-03-1944,NA,NA,-6.308052,150.373962,Two miles southeast of Vivigani Airfield
Crash,DAP Beaufort Mark VIII,A9-183  ,Australia,F/O Robert Barclay Anderson, Gurney Field (No. 1 Strip) near Milne Bay,Gasmata Airfield ,05-09-1943,5:20 AM,Anti Aircraft Fire,-6.209242,150.39245,Gasmata
Crash,P-38H-5-LO Lightning,42-66821  ,USA, 1st Lt. Lowell C. Lutton, Dobobura Airfield,Rabaul,02-11-1943,NA,Bad Weather,-5.449072,152.183094, Into the sea south of Wide Bay
Crash, C-47A-25-DK Dakota,A65-54 Tail VH-CUP,Australia, F/Lt. Ronald Alexander Hanrahan, Jacquinot Bay Airfield,Rabaul,15-11-1945,9:00 AM,NIL,-5.203865,151.9412,"Unnamed mountain with an elevation of 7,000' roughly 150' below the peak in the Kol Mountains
 on New Britain roughly six miles inland from Milim bordering Wide Bay."
Crash,Martin B-26 Marauder ,"""Imogene VII"" Serial Number 40-1474  ",USA,2nd Lt Harold L. Massie," 7 Mile Drome , Port Moresby",Rabaul,24-05-1942,NA,Anti Aircraft Fire,-5.029901,152.041286,A mile off shore from Wide Bay
Crash,P-38H-5-LO Lightning,42-66911 Nose 37,USA," 2nd Lt. Alphonse ""Al"" D. Quinones", Kiriwina Airfield,Rabaul,07-11-1943,NA,Enemey Aircraft,-4.911591,151.975046,South of Lemingi 
Crash,B-24J-50-CO Liberator ,42-73469  ,USA, Captain Lewis W. Haire,Munda Airfield,Tobera Airfield Rabaul,05-03-1944,NA,Anti Aircraft Fire,-4.853838,152.40992, Saint Georges Channel roughly five miles off the southeastern coast of East New Britain
